stage,seed,radius,width,method,normalized_regret,regret,target_mse,normal_contribution,test_cost,rare_cost,common_cost,rare_axis_span,student_boundary_fraction,weighted_distance,radial_slack
neural_information_transfer,12101,0.5,2,weight,0.5160162033507653,0.057622041979955796,0.02082720662957603,0.042626453206661044,7.986382664976237,60.02032115907967,2.2455821859575065,0.9999894445595681,0.08829752604166666,0.036754095965637806,0.020867946014317976
neural_information_transfer,12101,0.5,2,point,0.4931783328754812,0.05507180281553739,0.02049453088038127,0.04031574058166287,7.97228410441694,60.04498212287272,2.227207364511409,0.9988055710585733,0.10670979817708333,0.03649158811218856,0.018580214703348828
neural_information_transfer,12101,0.5,2,restored,0.4542085228004426,0.050720156457315625,0.02251358342851014,0.034510376388788316,7.956128741803781,60.01655205499257,2.2124062456075646,0.9998864102609084,0.2652587890625,0.043113467386393226,0.0076066890709223945
neural_information_transfer,12101,0.5,2,shuffled,0.5490752973571134,0.06131365571278697,0.021391436436331557,0.04591182147862825,8.069495178947374,61.26603267731376,2.2004274744650965,0.7449967412088762,0.14662679036458331,0.04552690484834813,0.015786750864438846
neural_information_transfer,12101,0.5,4,shuffled,0.33329804660203055,0.03721843211207174,0.015929880293987245,0.025748918300400925,7.878025733053937,60.78037159662923,2.0414156038928777,0.7608661030017767,0.40506998697916663,0.03510752426504811,0.0021109078470236296
neural_information_transfer,12101,0.5,4,weight,0.3244557319541633,0.036231036323856464,0.015331454649718025,0.025192388976059483,7.811145374829275,59.95593094694127,2.0581153591476324,0.9999427912980665,0.17036946614583331,0.02625128413475445,0.009979752189102017
neural_information_transfer,12101,0.5,4,point,0.410839523174359,0.04587726528286125,0.014938297046510203,0.035121691409373906,7.972969918116255,62.04327202623944,2.0075015098738764,0.5720787823836411,0.320556640625,0.036875718975797445,0.009001546307063811
neural_information_transfer,12101,0.5,4,restored,0.26674079044910215,0.029786175172830377,0.015305020552470381,0.0187665603750517,7.7912316689890035,59.94127184187683,2.0376219237015682,0.9999745221977546,0.4879150390625,0.028671751394654305,0.001114423778176076
neural_information_transfer,12101,0.5,16,restored,0.00041093623107571904,4.588806437543969e-05,1.3680832136990883e-05,3.6037865236804656e-05,7.527173117237117,59.92762368367837,1.7459360935066772,1.0,0.6911214192708333,4.58816484738212e-05,6.415901617455869e-09
neural_information_transfer,12101,0.5,16,point,0.00032225297951384745,3.598506130841485e-05,1.024201020963983e-05,2.8610813957472785e-05,7.527128615192275,59.927194592754724,1.745934022384491,1.0000000000000009,0.694091796875,3.598454558642915e-05,5.157219848413335e-10
neural_information_transfer,12101,0.5,16,shuffled,0.036129772209981946,0.0040345075164135,0.001703422225755263,0.0028080435138697103,7.554038891778189,59.942341446997446,1.7741421338561951,0.9999999999999993,0.70391845703125,0.0040344151244213824,9.239199211767209e-08
neural_information_transfer,12101,0.5,16,weight,0.0005989270244951459,6.688045438164267e-05,2.1945266678759354e-05,5.1079862372934405e-05,7.527395132640897,59.92873898667766,1.7460595542746842,0.9999999999999999,0.6896158854166666,6.686548620227376e-05,1.4968179367948094e-08
neural_information_transfer,12101,2.0,2,restored,0.41409877584458216,0.12156483254449897,0.13643441980650722,0.023332050283813733,7.115793631813251,51.21581263447749,2.2503266396515946,0.9999913378783893,0.07840983072916666,0.11072989152113628,0.010834941023362667
neural_information_transfer,12101,2.0,2,point,0.4082404220681842,0.11984502597332104,0.13090168004591146,0.02559581634026476,7.106495316155078,51.50102490770508,2.208535559104155,0.9999434945147891,0.07704671223958333,0.1093040547886674,0.010540971184653618
neural_information_transfer,12101,2.0,2,weight,0.4146964747168593,0.12174029590628316,0.1364322012570136,0.023509111001233346,7.111621523680299,51.1831674250575,2.249295911899186,0.9999925493992942,0.07613118489583333,0.110519725555593,0.01122057035069015
neural_information_transfer,12101,2.0,2,shuffled,0.4171508192214482,0.12246080510870312,0.13482201455606455,0.025388954628336645,7.127191079905572,51.50736155964797,2.230815534973297,0.9953852092782849,0.0791015625,0.11189345493430332,0.01056735017439982
neural_information_transfer,12101,2.0,4,shuffled,0.26983401391786005,0.07921377369404708,0.08823563835811793,0.015684114076202176,6.880008281732742,51.421542226801,1.9658298280480617,0.9902923209933167,0.08913167317708333,0.07231562033265611,0.006898153361390977
neural_information_transfer,12101,2.0,4,restored,0.2561587338835151,0.0751991925739179,0.08738787928770533,0.012279919486770041,6.8499798536922825,51.105891619214916,1.9673135244519138,0.9999878388265288,0.09564208984375,0.07087684973882802,0.004322342835089884
